hidden_dim, num_layers, lr, epochs, number_systems, loss
2, 2, 0.1, 100, 5, 0.0014182926999637858
2, 2, 0.1, 100, 10, 0.0005400971404014854
2, 2, 0.1, 100, 20, 0.001002906593203079
2, 2, 0.1, 200, 5, 0.009041861579316902
2, 2, 0.1, 200, 10, 0.0006568924800376408
2, 2, 0.1, 200, 20, 0.0012044501636410132
2, 2, 0.1, 500, 5, 0.0035926443539210594
2, 2, 0.1, 500, 10, 0.0003238455661630724
2, 2, 0.1, 500, 20, 0.0017221715912455692
2, 2, 0.1, 1000, 5, 0.01013152431405615
2, 2, 0.1, 1000, 10, 0.0014487235945125575
2, 2, 0.1, 1000, 20, 0.000999845597834792
2, 4, 0.01, 100, 5, 0.0004976262258423958
2, 4, 0.01, 100, 10, 0.0007426897915138398
2, 4, 0.01, 100, 20, 0.0024832105787936597
2, 4, 0.01, 200, 5, 0.0013814101390380528
2, 4, 0.01, 200, 10, 0.002585977992566768
2, 4, 0.01, 200, 20, 0.0014317318392386368
2, 4, 0.01, 500, 5, 0.0025471839857345913
2, 4, 0.01, 500, 10, 0.001186143067025114
2, 4, 0.01, 500, 20, 0.0019574773610656847
2, 4, 0.01, 1000, 5, 0.0007287856380571612
2, 4, 0.01, 1000, 10, 0.0002743014927546028
2, 4, 0.01, 1000, 20, 0.0011802574328612537
2, 4, 0.005, 100, 5, 0.0008459041855530813
2, 4, 0.005, 100, 10, 0.001581873670056666
2, 4, 0.005, 100, 20, 0.0019733074310352094
2, 4, 0.005, 200, 5, 0.0004245649346557911
2, 4, 0.005, 200, 10, 0.0029293725372554038
2, 4, 0.005, 200, 20, 0.001138685223122593
2, 4, 0.005, 500, 5, 0.0027247955011262094
2, 4, 0.005, 500, 10, 0.0019329605405800977
2, 4, 0.005, 500, 20, 0.0008198443916626275
2, 4, 0.005, 1000, 5, 0.0017772989856894128
2, 4, 0.005, 1000, 10, 0.0008898549000150524
2, 4, 0.005, 1000, 20, 0.0019356471515493468
2, 4, 0.02, 100, 5, 0.004106525385577697
2, 4, 0.02, 100, 10, 0.0002485461665855837
2, 4, 0.02, 100, 20, 0.0005377033023250988
2, 4, 0.02, 200, 5, 0.0012573706287184905
2, 4, 0.02, 200, 10, 0.0009874679730273784
2, 4, 0.02, 200, 20, 0.0008911467732104939
2, 4, 0.02, 500, 5, 0.0005940053455560701
2, 4, 0.02, 500, 10, 0.001270767480673385
2, 4, 0.02, 500, 20, 0.0009949632745701819
2, 4, 0.02, 1000, 5, 0.0009309621920692735
2, 4, 0.02, 1000, 10, 0.00305578546540346
2, 4, 0.02, 1000, 20, 0.004475937416282249
2, 4, 0.001, 100, 5, 0.0028495269161794567
2, 4, 0.001, 100, 10, 0.0005754736032940854
2, 4, 0.001, 100, 20, 0.001354658603668213
2, 4, 0.001, 200, 5, 0.0012356043611362112
2, 4, 0.001, 200, 10, 0.001628816715310677
2, 4, 0.001, 200, 20, 0.0026242404244840147
2, 4, 0.001, 500, 5, 0.002347565828677034
2, 4, 0.001, 500, 10, 0.0015465113698155618
2, 4, 0.001, 500, 20, 0.0015782927555846981
2, 4, 0.001, 1000, 5, 0.000920702908479143
2, 4, 0.001, 1000, 10, 0.005457008255325491
2, 4, 0.001, 1000, 20, 0.0008493841647577938
2, 4, 0.1, 100, 5, 0.0012914917318994413
2, 4, 0.1, 100, 10, 0.0016927068070799578
2, 4, 0.1, 100, 20, 0.0008180326320143649
2, 4, 0.1, 200, 5, 0.0003127377050986979
2, 4, 0.1, 200, 10, 0.0003628181506428518
2, 4, 0.1, 200, 20, 0.002254339572391473
2, 4, 0.1, 500, 5, 0.0007198879056886653
2, 4, 0.1, 500, 10, 0.0006450784389926412
2, 4, 0.1, 500, 20, 0.0003479860293737147
2, 4, 0.1, 1000, 5, 0.0019537125124770684
2, 4, 0.1, 1000, 10, 0.0009490214659308549
2, 4, 0.1, 1000, 20, 0.005490814778022468
2, 6, 0.01, 100, 5, 0.0004431071375620377
2, 6, 0.01, 100, 10, 0.002273834586958401
2, 6, 0.01, 100, 20, 0.00333822150278138
2, 6, 0.01, 200, 5, 0.0003249433078508446
2, 6, 0.01, 200, 10, 0.0007784421402902808
2, 6, 0.01, 200, 20, 0.0006873062535305508
2, 6, 0.01, 500, 5, 0.0009287946131735225
2, 6, 0.01, 500, 10, 0.001289657705274294
2, 6, 0.01, 500, 20, 0.0006616804326768033
2, 6, 0.01, 1000, 5, 0.005555212789658981
2, 6, 0.01, 1000, 10, 0.0018961771786507597
2, 6, 0.01, 1000, 20, 0.004083058181640809
2, 6, 0.005, 100, 5, 0.0006493114538898226
2, 6, 0.005, 100, 10, 0.0024257295852294193
2, 6, 0.005, 100, 20, 0.0005942253446846735
2, 6, 0.005, 200, 5, 0.001156581649047439
2, 6, 0.005, 200, 10, 0.0015524808653935907
2, 6, 0.005, 200, 20, 0.0010028863183833892
2, 6, 0.005, 500, 5, 0.001473030425995603
2, 6, 0.005, 500, 10, 0.0006918488084920682
2, 6, 0.005, 500, 20, 0.0029942328459583224
2, 6, 0.005, 1000, 5, 0.0021122668813404744
2, 6, 0.005, 1000, 10, 0.0005309562693582848
2, 6, 0.005, 1000, 20, 0.0005861972000275273
2, 6, 0.02, 100, 5, 0.0007274241790582892
2, 6, 0.02, 100, 10, 0.00040305932852788826
2, 6, 0.02, 100, 20, 0.000925032258965075
2, 6, 0.02, 200, 5, 0.00119242647633655
2, 6, 0.02, 200, 10, 0.0005059882052592002
2, 6, 0.02, 200, 20, 0.0031892359955236317
2, 6, 0.02, 500, 5, 0.0004835195335544995
2, 6, 0.02, 500, 10, 0.0024515132063243072
